# cpu=11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
# kernel=Linux 6.6.87.2-microsoft-standard-WSL2
# compiler=gcc 11.4.0
# date=2026-08-25T08:34:25Z
# git_sha=8a43db6
# tsc_usable=1 tsc_flags_known=1 ns_per_tick=0.355454
# timer_overhead_ns=7.46
# profile=hardened metadata_bytes=24
# counters=on
# lock=arena
# ops_per_thread=200000 arena=growable
workload,allocator,lock,threads,rep,ops,ns_total,ops_per_sec,ops_per_sec_per_thread,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,timer_overhead_ns,alloc_failures,peak_payload_bytes,peak_block_bytes,peak_blocks,seed
producer_consumer,system,arena,2,2,400000,65242877,6130937.5,3065468.7,235.7,66.5,3723.4,20102.7,139268.3,7.46,0,0,0,0,20262809
producer_consumer,system,arena,2,3,400000,63831649,6266483.9,3133241.9,243.1,65.4,3882.6,21376.7,466681.4,7.46,0,0,0,0,20263809
producer_consumer,system,arena,2,4,400000,67883211,5892473.2,2946236.6,246.7,68.2,3882.6,21467.6,186345.0,7.46,0,0,0,0,20264809
producer_consumer,system,arena,2,5,400000,66273257,6035617.1,3017808.5,250.6,63.6,4132.9,21103.7,138542.1,7.46,0,0,0,0,20265809
producer_consumer,system,arena,2,6,400000,68147156,5869650.7,2934825.3,243.8,68.2,3905.4,22377.6,195850.2,7.46,0,0,0,0,20266809
producer_consumer,system,arena,2,7,400000,64512589,6200340.2,3100170.1,238.2,62.2,3814.4,20739.7,204827.9,7.46,0,0,0,0,20267809
producer_consumer,system,arena,2,8,400000,69312405,5770972.7,2885486.4,253.4,64.0,3859.9,23105.6,546795.7,7.46,0,0,0,0,20268809
producer_consumer,system,arena,2,9,400000,70693380,5658238.4,2829119.2,258.8,67.5,4019.1,21740.6,144159.7,7.46,0,0,0,0,20269809
producer_consumer,system,arena,2,10,400000,66439826,6020485.4,3010242.7,246.7,64.0,4064.6,19556.7,189768.4,7.46,0,0,0,0,20270809
producer_consumer,system,arena,2,11,400000,65294050,6126132.5,3063066.2,242.4,65.4,3655.1,20557.7,164033.5,7.46,0,0,0,0,20271809
producer_consumer,system,arena,4,1,800000,75378650,10613084.7,2653271.2,255.9,71.1,4064.6,20739.7,267107.8,7.46,0,0,0,0,20261809
producer_consumer,system,arena,4,2,800000,76365004,10476002.9,2619000.7,256.6,66.8,4292.1,24379.5,330387.8,7.46,0,0,0,0,20262809
producer_consumer,system,arena,4,3,800000,74173925,10785461.3,2696365.3,255.9,69.0,4064.6,21740.6,248957.2,7.46,0,0,0,0,20263809
producer_consumer,system,arena,4,4,800000,106263240,7528473.6,1882118.4,310.3,53.7,2620.1,21467.6,10861500.4,7.46,0,0,0,0,20264809
